ID_prod,producto,variante
50,Beans,NA
51,Maize,NA
52,Rice,NA
54,Maize meal,NA
55,Bread,NA
56,Maize ,Local
57,Rice ,Tchako
58,Wheat flour,NA
60,Rice ,Coarse
61,Lentils ,Masur
62,Oil ,Palm
64,Rice ,Imported
65,Sorghum,NA
66,Beans ,White
67,Maize ,White
68,Cassava,NA
70,Rice ,"Denikassia, Imported"
71,Rice ,Local
72,Yam ,Florido
73,Millet,NA
74,Cassava flour,NA
76,Maize flour,NA
77,Maize flour ,Imported
78,Beans ,Red
79,Beans ,Silk Red
80,Rice ,"Regular, Milled"
81,Milk,NA
82,Oil ,Cooking
83,Potatoes,NA
84,Wheat,NA
85,Beans ,Black
86,Rice ,Milled 80-20
87,Sweet potatoes,NA
89,Meat ,"Chicken, Broiler"
90,Chili ,Green
91,Chili ,Red
92,Eggs,NA
94,Meat ,Chicken
95,Milk ,Condensed
96,Oil ,Vegetable
97,Sugar,NA
98,Plantains ,Apentu
99,Yam,NA
100,Fonio,NA
101,Oil ,"Vegetable, Imported"
102,Milk ,Non-Pasteurized
104,Beans ,Fava
105,Garlic,NA
106,Ghee ,Artificial
107,Ghee ,Natural
108,Lentils,NA
110,Onions ,Red
111,Onions ,White
112,Pasta,NA
114,Tomatoes,NA
117,Rice ,"Paddy, Long Grain, Local"
118,Groundnuts ,Unshelled
119,Groundnuts ,Shelled
120,Beans ,Niebe
122,Rice ,"Basmati, Broken"
123,Meat ,"Beef, Chops With Bones"
124,Bread ,Common
125,Meat ,"Chicken, Whole"
126,Noodles ,Short
127,Potatoes ,Dutch
128,Potatoes ,"Irish, Imilla"
129,Rice ,Carolina 2da
130,Rice ,Estaquilla
131,Rice ,Medium Grain
133,Rice ,White
134,Maize flour ,White
135,Sorghum ,White
136,Maize ,Yellow
137,Oil,NA
138,Poultry,NA
139,Fish,NA
140,Meat ,Pork
141,Meat ,Beef
142,Cheese ,Dry
144,Potatoes ,Black
145,Rice ,Low Quality
146,Millet ,White
147,Plantains,NA
148,Potatoes ,Irish
150,Cocoa,NA
151,Coffee,NA
152,Fish ,Bonga
153,Groundnuts,NA
155,Pigeon peas,NA
156,Sesame,NA
157,Rice ,Red Nadu
158,Maize ,Imported
159,Bread ,Brown
161,Peas ,"Split, Dry"
162,Rice ,Long Grain
163,Pulses,NA
165,Rice ,"Mixed, Low Quality"
166,Carrots,NA
167,Cashew,NA
169,Cornstarch,NA
170,Fish ,Appolo
171,Fish ,Dry
172,Oil ,Cotton
173,Onions,NA
174,Peanut,NA
175,Tea ,Black
176,Tea ,Green
177,Wheat flour ,First Grade
178,Wheat flour ,High Quality
179,Wheat flour ,Local
180,Beans ,Kidney
181,Cabbage,NA
183,Meat ,Mutton
184,Oil ,Sunflower
185,Salt,NA
186,Peas ,Yellow
187,Meat ,"Beef, First Quality"
188,Meat ,"Beef, Second Quality"
189,Meat ,"Buffalo, First Quality"
190,Meat ,"Buffalo, Second Quality"
192,Meat ,"Pork, First Quality"
193,Meat ,"Pork, Second Quality"
194,Rice ,"Glutinous, First Quality"
195,Rice ,"Glutinous, Second Quality"
196,Rice ,"Glutinous, Unmilled"
197,Rice ,"Ordinary, First Quality"
198,Rice ,"Ordinary, Second Quality"
199,Rice ,"Ordinary, Unmilled"
200,Sorghum ,Taghalit
201,Sorghum ,Imported
203,Rice ,Paddy
206,Beans ,Kidney Red
207,Meat ,"Chicken, Frozen"
208,Chickpeas ,Imported
209,Coffee ,Instant
210,Eggs ,"White, Aa"
211,Meat ,"Beef, Minced"
212,Peas ,"Green, Dry"
213,Potatoes ,Unica
214,Sugar ,Brown
215,Sugar ,"Brown, Loaf"
217,Cassava meal,NA
218,Cowpeas,NA
221,Maize meal ,"White, First Grade"
222,Oil ,"Vegetable, Local"
223,Sugar ,"Brown, Imported"
224,Sugar ,"Brown, Local"
225,Rice ,"Long Grain, Imported"
226,Rice ,"Medium Grain, Imported"
227,Rice ,"Small Grain, Imported"
228,Oil ,Mustard
229,Apples ,Red
230,Bananas ,Medium Size
231,Cauliflower,NA
233,Cucumbers ,Greenhouse
234,Fish ,Red Snapper
236,Meat ,"Goat, With Bones"
237,Meat ,"Chicken, Plucked"
238,Milk ,Powder
239,Oil ,Olive
240,Onions ,"Dry, Local"
241,Oranges ,Big Size
242,Potatoes ,Medium Size
243,Tomatoes ,Greenhouse
244,Chickpeas,NA
245,Oil ,Groundnut
247,Rice ,High Quality
248,Soybeans,NA
249,Sorghum ,Food Aid
251,Rice ,"Imported, Indian"
253,Sorghum flour,NA
254,Bananas,NA
258,Bulgur,NA
259,Bread ,Khoboz
260,Cassava meal ,Foufou
262,Beans ,Dry
263,Beans ,Fresh
264,Maize meal ,"White, Roller"
265,Maize meal ,"White, Breakfast"
268,Beans ,"Red, Fresh"
269,Tortilla ,Maize
274,Wage ,Qualified Labour
275,Livestock ,"Sheep, One-Year-Old Alive Female"
277,Wage ,Non-Qualified Labour
278,Bread ,Bakery
280,Bread ,Shop
281,Tea,NA
282,Sorghum ,Red
283,Fuel ,Kerosene
284,Fuel ,Diesel
285,Fuel ,Petrol-Gasoline
286,Maize meal ,"White, With Bran"
287,Livestock ,Cattle
288,Garlic ,Large
289,Garlic ,Small
290,Cassava ,Dry
291,Cassava ,Fresh
292,Peppers ,Green
296,Potatoes ,"Irish, Imported"
297,Potatoes ,"Irish, Local"
298,Eggs ,Imported
299,Meat ,"Chicken, Imported"
300,Fish ,Smoked
301,Fish ,Salted
302,Cassava ,Cossette
303,Cassava ,Chikwangue
304,Transport ,Public
305,Exchange rate,NA
306,Oil ,Soybean
307,Barley,NA
308,Teff,NA
309,Fish ,Snake Head
310,Fish ,Catfish
311,Fish ,"Tilapia, Farmed"
313,Dates,NA
314,Cheese ,Local
316,Rice ,"Imported, Egyptian"
317,Tomatoes ,Paste
318,Lettuce,NA
319,Cheese ,Picon
320,Meat ,"Beef, Canned"
321,Fish ,"Sardine, Canned"
322,Fish ,"Tuna, Canned"
323,Onions ,Imported
324,Onions ,Local
325,Lentils ,Moong
326,Beans,Mash
329,Meat ,"Pork, With Fat"
331,Sugar ,Jaggery/Gur
332,Lentils ,Urad
333,Ghee ,Vanaspati
334,Salt ,Iodised
339,Wheat flour ,Imported
340,Squashes,NA
341,Fuel ,Gas
342,Milk ,Camel
343,Fish ,Canned
344,Meat ,Camel
345,Apples,NA
349,Sugar ,White
351,Groundnuts ,Paste
354,Beans ,Sugar-Red
355,Groundnuts ,Mix
357,Tea ,Sahm
360,Oranges,NA
361,Livestock ,"Sheep, Two-Year-Old Male"
362,Oil ,Maize
363,Labaneh,NA
364,Yogurt,NA
365,Cheese ,Goat
366,Wheat flour ,Locally Processed
367,Curd,NA
368,Sour cream,NA
369,Meat ,"Mixed, Sausage"
370,Beetroots,NA
372,Butter,NA
373,Buckwheat grits,NA
374,Bread ,Rye
375,Bread ,Wheat
376,Fat ,Salo
381,Rice ,"Imported, Tanzanian"
382,Corn Soy Blend ,"Csb++, Food Aid"
383,Livestock ,Goat
384,Bread ,Pita
385,Beans ,"Fava, Dry"
386,Meat ,Lamb
387,Cheese ,"White, Boiled"
388,Cucumbers,NA
389,Beans ,Kidney White
390,Livestock ,Sheep
392,Beans ,Haricot
393,Beans ,Mung
394,Chickpeas ,Local
395,Oil ,Mixed
396,Oil ,"Mixed, Imported"
400,Rice ,"White, Imported"
401,Fish ,Fresh
403,Cassava meal ,Gari
404,Spinach,NA
405,Fish ,Tilapia
406,Beans ,String
407,Guava,NA
408,Papaya,NA
409,Blackberry,NA
410,Broccoli,NA
411,Mangoes,NA
412,Pumpkin,NA
413,Tomatoes ,Dried
414,Cheese,NA
415,Lentils ,Imported
418,Beans ,Butter
419,Beans ,Magnum
420,Groundnuts ,"Large, Shelled"
421,Groundnuts ,"Small, Shelled"
422,Livestock ,Pig
424,Peas ,"Yellow, Split"
425,Rice ,"High Quality, Local"
426,Rice ,"Low Quality, Local"
427,Beans ,Catarino
431,Maize meal ,"White, Without Bran"
432,Beans ,Sugar
433,Meat ,Veal
434,Eggplants,NA
436,Rice ,Good Quality
439,Milk ,"Cow, Fresh"
442,Milk ,"Powder, Infant Formula"
446,Charcoal,NA
447,Passion fruit,NA
449,Peppers ,Sweet
450,Zucchini,NA
451,Meat ,Goat
453,Livestock ,Hen
454,Avocados,NA
455,Cassava leaves,NA
456,Peas ,Fresh
457,Peas ,Dry
458,Beans ,"Green, Fresh"
459,Bread ,High Grade Flour
460,Bread ,First Grade Flour
463,Milk ,Pasteurized
464,Meat ,Sheep
465,Wage ,"Non-Qualified Labour, Non-Agricultural"
466,Chili ,"Red, Dry Raw"
467,Wage ,"Non-Qualified Labour, Agricultural"
468,Meat ,"Beef, Without Bones"
469,Parsley,NA
470,Yeast,NA
471,Maize meal ,Local
472,Milk ,"Cow, Pasteurized"
473,Exchange rate ,Unofficial
476,Livestock ,"Sheep, Medium-Sized Castrated Male"
477,Livestock ,"Goat, Medium-Sized Castrated Male"
478,Sorghum ,Berbere
479,Cowpeas ,White
480,Cowpeas ,Brown
481,Sorghum ,Brown
482,Gari ,Yellow
483,Gari ,White
484,Yam ,Abuja
486,Fish ,Frozen
488,Cotton,NA
489,Water ,Drinking
490,Beans ,"Niebe, White"
491,Electricity,NA
492,Tea ,Herbal
493,Water,NA
494,Oil ,"Vegetable, Fortified"
495,Maize meal ,"White, Fortified"
496,Wheat flour ,Fortified
497,Sugar ,"White, Fortified"
498,Maize ,"Yellow, Biofortified"
499,Millet ,Biofortified
500,Sorghum ,Biofortified
501,Beans ,"Sugar, Biofortified"
502,Cocoa ,Powder
503,Cassava meal ,Attieke
505,Fuel ,"Diesel, Parallel Market"
506,Fuel ,"Petrol-Gasoline, Parallel Market"
507,Livestock ,"Sheep, Medium-Sized Male"
508,Livestock ,"Goat, Medium-Sized Male"
510,Sorghum ,"White, Imported"
511,Sorghum ,Local
512,Milling cost ,Sorghum
536,Dishwashing liquid,NA
537,Toothbrush ,NA
538,Sanitary pads,NA
539,Toothpaste,NA
540,Laundry soap,NA
541,Handwash soap,NA
542,Couscous,NA
543,Laundry detergent,NA
545,Shampoo,NA
